pid,condition,section,block,trial,start_time,end_time,err_count
P01,CS889C3,visible,2,8,1543426122735,1543426123623,0
P01,CS889C3,visible,2,9,1543426124188,1543426124927,0
P01,CS889C3,visible,2,10,1543426125436,1543426126210,0
P01,CS889C3,visible,2,11,1543426126724,1543426127645,0
P01,CS889C3,visible,2,12,1543426128232,1543426128922,0
P01,CS889C3,visible,2,13,1543426129492,1543426130338,0
P01,CS889C3,visible,2,14,1543426130878,1543426131602,0
P01,CS889C3,visible,2,15,1543426132431,1543426134193,0
P01,CS889C3,visible,2,16,1543426134822,1543426135625,0
P01,CS889C3,visible,2,17,1543426136285,1543426137080,0
P01,CS889C3,visible,2,18,1543426137682,1543426138395,0
P01,CS889C3,visible,2,19,1543426139076,1543426140000,0
P01,CS889C3,visible,2,20,1543426140528,1543426141370,0
P01,CS889C3,visible,2,21,1543426141887,1543426142867,0
P01,CS889C3,visible,2,22,1543426144695,1543426145505,1
P01,CS889C3,visible,2,23,1543426146195,1543426146984,0
P01,CS889C3,visible,2,24,1543426147547,1543426148433,0
P01,CS889C3,visible,2,25,1543426148944,1543426149864,0
P01,CS889C3UnorderedGesture,practice,0,0,1543426207251,1543426238509,1
P01,CS889C3UnorderedGesture,practice,0,1,1543426239372,1543426241276,0
P01,CS889C3UnorderedGesture,practice,0,2,1543426242064,1543426247979,0
P01,CS889C3UnorderedGesture,practice,0,3,1543426248677,1543426250266,0
P01,CS889C3UnorderedGesture,practice,0,4,1543426250899,1543426272809,0
P01,CS889C3UnorderedGesture,practice,0,5,1543426273395,1543426301594,0
P01,CS889C3UnorderedGesture,practice,0,6,1543426302205,1543426318228,0
P01,CS889C3UnorderedGesture,practice,0,7,1543426318948,1543426322568,0
P01,CS889C3UnorderedGesture,practice,0,8,1543426323158,1543426328156,0
P01,CS889C3UnorderedGesture,practice,0,9,1543426328665,1543426332266,0
P01,CS889C3UnorderedGesture,practice,0,10,1543426332798,1543426334924,0
P01,CS889C3UnorderedGesture,practice,0,11,1543426335514,1543426337716,0
P01,CS889C3UnorderedGesture,practice,0,12,1543426338261,1543426357747,0
P01,CS889C3UnorderedGesture,practice,0,13,1543426358402,1543426364634,0
P01,CS889C3UnorderedGesture,practice,0,14,1543426365160,1543426369159,0
P01,CS889C3UnorderedGesture,practice,0,15,1543426369738,1543426370567,0
P01,CS889C3UnorderedGesture,practice,0,16,1543426371112,1543426373029,0
P01,CS889C3UnorderedGesture,practice,0,17,1543426373473,1543426375395,0
P01,CS889C3UnorderedGesture,practice,0,18,1543426375771,1543426381939,0
P01,CS889C3UnorderedGesture,practice,0,19,1543426382708,1543426392104,0
P01,CS889C3UnorderedGesture,practice,0,20,1543426392536,1543426401594,0
P01,CS889C3UnorderedGesture,practice,0,21,1543426402244,1543426404057,0
P01,CS889C3UnorderedGesture,practice,0,22,1543426404489,1543426411196,0
P01,CS889C3UnorderedGesture,practice,0,23,1543426411760,1543426412909,0
P01,CS889C3UnorderedGesture,practice,0,24,1543426413537,1543426418134,0
P01,CS889C3UnorderedGesture,practice,0,25,1543426418630,1543426422902,0
P01,CS889C3UnorderedGesture,visible,0,0,1543426431569,1543426433332,0
P01,CS889C3UnorderedGesture,visible,0,1,1543426433754,1543426436450,0
P01,CS889C3UnorderedGesture,visible,0,2,1543426436825,1543426441464,0
P01,CS889C3UnorderedGesture,visible,0,3,1543426441863,1543426443846,0
P01,CS889C3UnorderedGesture,visible,0,4,1543426444290,1543426451822,0
P01,CS889C3UnorderedGesture,visible,0,5,1543426452407,1543426454294,0
P01,CS889C3UnorderedGesture,visible,0,6,1543426454723,1543426459855,0
P01,CS889C3UnorderedGesture,visible,0,7,1543426460607,1543426475971,0
P01,CS889C3UnorderedGesture,visible,0,8,1543426476582,1543426478158,0
P01,CS889C3UnorderedGesture,visible,0,9,1543426478860,1543426479913,0
P01,CS889C3UnorderedGesture,visible,0,10,1543426480659,1543426483798,0
